Country,Prevalecence of tobacco use 2000
Afghanistan,36.9
Albania,35.0
Algeria,22.2
Andorra,35.9
Argentina,34.0
Armenia,32.0
Australia,24.4
Austria,52.3
Azerbaijan,28.7
Bahamas,10.7
Bahrain,22.2
Bangladesh,57.6
Barbados,10.2
Belarus,41.8
Belgium,33.4
Belize,15.0
Benin,16.7
Bolivia,32.1
Bosnia and Herzegovina,46.6
Botswana,33.2
Brazil,23.8
Brunei,16.7
Bulgaria,47.5
Burkina Faso,29.8
Burundi,24.0
Cape Verde,20.6
Cambodia,42.3
Cameroon,12.8
Canada,28.4
Chad,13.9
Chile,46.9
China,26.7
Colombia,15.1
Comoros,39.5
Congo,11.9
Cook Islands,44.3
Costa Rica,18.0
Ivory Coast,18.7
Croatia,34.4
Cuba,40.8
Cyprus,40.9
Czech Republic,34.2
Denmark,37.3
Dominican Republic,18.7
DR Congo,18.8
Ecuador,18.4
Egypt,24.3
El Salvador,15.9
Eritrea,13.3
Estonia,46.0
Eswatini,12.3
Ethiopia,6.8
Fiji,32.3
Finland,35.7
France,34.2
Gambia,22.5
Georgia,32.8
Germany,36.4
Ghana,7.0
Greece,54.9
Guatemala,14.3
Guinea-Bissau,18.0
Guyana,30.2
Haiti,12.3
Hungary,37.4
Iceland,30.2
India,54.5
Indonesia,35.4
Iran,21.5
Iraq,22.0
Ireland,35.6
Israel,31.7
Italy,26.2
Jamaica,17.4
Japan,33.3
Jordan,30.7
Kazakhstan,34.2
Kenya,19.3
Kiribati,68.5
Kuwait,20.0
Kyrgyzstan,31.4
Laos,52.5
Latvia,43.8
Lebanon,40.2
Lesotho,31.1
Liberia,16.3
Lithuania,41.4
Luxembourg,31.0
Madagascar,46.7
Malawi,24.1
Malaysia,29.5
Maldives,38.3
Mali,16.3
Malta,34.3
Marshall Islands,28.5
Mauritania,21.3
Mauritius,25.5
Mexico,24.0
Moldova,25.3
Mongolia,34.1
Montenegro,38.7
Morocco,22.5
Mozambique,29.4
Myanmar,66.9
Namibia,25.6
Nauru,63.4
Nepal,64.5
Netherlands,34.3
New Zealand,29.6
Niger,9.7
Nigeria,9.3
North Korea,19.8
Norway,44.0
Oman,7.6
Pakistan,37.5
Palau,26.1
Panama,13.4
Papua New Guinea,54.1
Paraguay,29.1
Peru,32.9
Philippines,34.9
Poland,39.6
Portugal,25.7
Qatar,13.5
Romania,35.0
Russia,33.3
Rwanda,24.8
Samoa,39.0
São Tomé and Príncipe,7.8
Saudi Arabia,14.2
Senegal,14.3
Serbia,45.1
Seychelles,28.7
Sierra Leone,43.7
Singapore,16.4
Slovakia,32.0
Slovenia,25.1
Solomon Islands,43.5
South Africa,23.5
South Korea,28.5
Spain,36.8
Sri Lanka,28.5
Sweden,43.8
Switzerland,28.3
Tanzania,27.8
Thailand,31.7
East Timor,53.5
Togo,14.4
Tonga,33.5
Tunisia,34.3
Turkey,32.9
Turkmenistan,12.0
Tuvalu,48.8
Uganda,24.7
Ukraine,37.7
United Arab Emirates,19.4
United Kingdom,37.9
United States,33.8
Uruguay,35.3
Uzbekistan,24.9
Vanuatu,25.6
Vietnam,29.8
Yemen,27.3
Zambia,19.9
Zimbabwe,21.0
